iter	Passed	Remaining
907	22681	2298
908	22693	2271
909	22704	2245
910	22717	2219
911	22729	2193
912	22740	2166
913	22755	2141
914	22769	2115
915	22783	2089
916	22796	2063
917	22810	2037
918	22822	2011
919	22835	1985
920	22850	1960
921	22863	1934
922	22878	1908
923	22891	1882
924	22902	1856
925	22917	1831
926	22931	1805
927	22944	1780
928	22957	1754
929	22968	1728
930	22984	1703
931	22997	1677
932	23009	1652
933	23022	1626
934	23033	1601
935	23046	1575
936	23060	1550
937	23073	1525
938	23089	1499
939	23101	1474
940	23114	1449
941	23126	1423
942	23139	1398
943	23153	1373
944	23164	1348
945	23176	1322
946	23190	1297
947	23204	1272
948	23214	1247
949	23228	1222
950	23245	1197
951	23259	1172
952	23273	1147
953	23286	1122
954	23300	1097
955	23311	1072
956	23323	1047
957	23337	1023
958	23351	998
959	23362	973
960	23375	948
961	23389	923
962	23404	899
963	23419	874
964	23433	849
965	23444	825
966	23458	800
967	23471	775
968	23485	751
969	23498	726
970	23510	702
971	23523	677
972	23536	653
973	23549	628
974	23563	604
975	23580	579
976	23593	555
977	23607	531
978	23621	506
979	23638	482
980	23653	458
981	23667	433
982	23680	409
983	23690	385
984	23705	361
985	23723	336
986	23740	312
987	23755	288
988	23767	264
989	23781	240
990	23794	216
991	23805	191
992	23820	167
993	23832	143
994	23844	119
995	23855	95
996	23868	71
997	23880	47
998	23890	23
999	23904	0
